Column1,id,geometry.coordinates,properties.location,properties.format,properties.categoryAlias,properties.market,properties.size,properties.designTemplateUrl,properties.description,properties.display.calculatedCpm,properties.display.views,cost-per-day,properties.numbers.total,properties.lat,properties.lng,zone_id
194,22894429,"[40.710755, -74.007245]",111 Nassau St,Retail: Digital,On-Street Ad (Print),"New York, NY",1920 x 1080 px,https://www.billboardsin.com/design/UrbanPanels-NaNxNaN-null,"111 Nassau St Exterior facing digital screen, 15-second or 30-second ads every 120 seconds during the hours of operation, video or static capabilities, no sound.",0,0,50,1400,40.710755,-74.007245,209
210,22894300,"[40.757167, -73.976267]",424 Madison Ave,Digital Networks: Digital Signage Networks,Unique / Other,"New York, NY",1920 x 1080 px,https://www.billboardsin.com/design/DigitalNetworks-NaNxNaN-null,"424 Madison Ave Interior facing digital screen, 15-second or 30-second ads every 120 seconds during the hours of operation, video or static capabilities, no sound.",0,0,50,1400,40.757167,-73.976267,161
217,22894351,"[40.747342, -73.973836]",710 2nd Ave,Grocery Stores: Digital,On-Street Ad (Print),"New York, NY",1920 x 1080 px,https://www.billboardsin.com/design/UrbanPanels-NaNxNaN-null,"710 2nd Ave Exterior facing digital screen, 15-second or 30-second ads every 120 seconds during the hours of operation, video or static capabilities, no sound.",0,0,50,1400,40.747342,-73.973836,170
218,22894498,"[40.71778, -74.00726]",173 W Broadway,Retail: Digital,Retail (Other),"New York, NY",1920 x 1080 px,https://www.billboardsin.com/design/RetailDigital-NaNxNaN-null,"173 W Broadway Interior facing digital screen, 15-second or 30-second ads every 120 seconds during the hours of operation, video or static capabilities, no sound.",0,0,50,1400,40.71778,-74.00726,231
226,22894332,"[40.755277, -73.992687]",325 W 38th St,Restaurants / Bars: Digital: Digital Signage Networks,Restaurant / Bar,"New York, NY",1920 x 1080 px,https://www.billboardsin.com/design/RestoBarDigitalSignageNetworks-NaNxNaN-null,"325 W 38th St Interior facing digital screen, 15-second or 30-second ads every 120 seconds during the hours of operation, video or static capabilities, no sound.",0,0,50,1400,40.755277,-73.992687,48
234,22894301,"[40.757153, -73.976257]",424 Madison Ave,Digital Networks: Digital Signage Networks,Unique / Other,"New York, NY",1920 x 1080 px,https://www.billboardsin.com/design/DigitalNetworks-NaNxNaN-null,"424 Madison Ave Exterior facing digital screen, 15-second or 30-second ads every 120 seconds during the hours of operation, video or static capabilities, no sound.",0,0,50,1400,40.757153,-73.976257,161
246,22894349,"[40.867979, -73.920793]",4953 Broadway,Retail: Digital,On-Street Ad (Print),"New York, NY",1920 x 1080 px,https://www.billboardsin.com/design/UrbanPanels-NaNxNaN-null,"4953 Broadway Exterior facing digital screen, 15-second or 30-second ads every 120 seconds during the hours of operation, video or static capabilities, no sound.",0,0,50,1400,40.867979,-73.920793,127
255,22894430,"[40.758425, -73.992936]",400B W 42nd,Retail: Digital,On-Street Ad (Print),"New York, NY",1920 x 1080 px,https://www.billboardsin.com/design/UrbanPanels-NaNxNaN-null,"400B W 42nd Exterior facing digital screen, 15-second or 30-second ads every 120 seconds during the hours of operation, video or static capabilities, no sound.",0,0,50,1400,40.758425,-73.992936,48
256,22894389,"[40.705906, -74.007313]",79 Pine St,Retail: Digital,Retail (Other),"New York, NY",1920 x 1080 px,https://www.billboardsin.com/design/RetailDigital-NaNxNaN-null,"79 Pine St Interior facing digital screen, 15-second or 30-second ads every 120 seconds during the hours of operation, video or static capabilities, no sound.",0,0,50,1400,40.705906,-74.007313,87
272,22894398,"[40.805596, -73.939967]",63 E 125th St,Retail: Digital,On-Street Ad (Print),"New York, NY",1920 x 1080 px,https://www.billboardsin.com/design/UrbanPanels-NaNxNaN-null,"63 E 125th St Exterior facing digital screen, 15-second or 30-second ads every 120 seconds during the hours of operation, video or static capabilities, no sound.",0,0,50,1400,40.805596,-73.939967,74
292,22894501,"[40.716516, -74.006881]",200 Church St,Health Club / Recreation: Digital: Digital Signage Networks,On-Street Ad (Print),"New York, NY",1920 x 1080 px,https://www.billboardsin.com/design/UrbanPanels-NaNxNaN-null,"200 Church St Exterior facing digital screen, 15-second or 30-second ads every 120 seconds during the hours of operation, video or static capabilities, no sound.",0,0,50,1400,40.716516,-74.006881,231
315,22894496,"[40.715854, -74.003278]",111 Worth St,Restaurants / Bars: Digital: Digital Signage Networks,Restaurant / Bar,"New York, NY",1920 x 1080 px,https://www.billboardsin.com/design/RestoBarDigitalSignageNetworks-NaNxNaN-null,"111 Worth St Interior facing digital screen, 15-second or 30-second ads every 120 seconds during the hours of operation, video or static capabilities, no sound.",0,0,50,1400,40.715854,-74.003278,231
348,22894485,"[40.748061, -73.992955]",342 7th Ave,Retail: Digital,On-Street Ad (Print),"New York, NY",1920 x 1080 px,https://www.billboardsin.com/design/UrbanPanels-NaNxNaN-null,"342 7th Ave Exterior facing digital screen, 15-second or 30-second ads every 120 seconds during the hours of operation, video or static capabilities, no sound.",0,0,50,1400,40.748061,-73.992955,186
361,22894418,"[40.84464, -73.939049]",4099 Broadway,Grocery Stores: Digital,On-Street Ad (Print),"New York, NY",1920 x 1080 px,https://www.billboardsin.com/design/UrbanPanels-NaNxNaN-null,"4099 Broadway Exterior facing digital screen, 15-second or 30-second ads every 120 seconds during the hours of operation, video or static capabilities, no sound.",0,0,50,1400,40.84464,-73.939049,244
380,22894339,"[40.720227, -73.997058]",177 Mulberry St,Restaurants / Bars: Digital: Digital Signage Networks,Restaurant / Bar,"New York, NY",1920 x 1080 px,https://www.billboardsin.com/design/RestoBarDigitalSignageNetworks-NaNxNaN-null,"177 Mulberry St Interior facing digital screen, 15-second or 30-second ads every 120 seconds during the hours of operation, video or static capabilities, no sound.",0,0,50,1400,40.720227,-73.997058,144
393,22894506,"[40.715727, -74.007556]",165 Church St,Retail: Digital,On-Street Ad (Print),"New York, NY",1920 x 1080 px,https://www.billboardsin.com/design/UrbanPanels-NaNxNaN-null,"165 Church St Exterior facing digital screen, 15-second or 30-second ads every 120 seconds during the hours of operation, video or static capabilities, no sound.",0,0,50,1400,40.715727,-74.007556,231
400,22894302,"[40.757192, -73.976251]",424 Madison Ave,Digital Networks: Digital Signage Networks,Unique / Other,"New York, NY",1920 x 1080 px,https://www.billboardsin.com/design/DigitalNetworks-NaNxNaN-null,"424 Madison Ave Interior facing digital screen, 15-second or 30-second ads every 120 seconds during the hours of operation, video or static capabilities, no sound.",0,0,50,1400,40.757192,-73.976251,161
401,22894311,"[40.749212, -73.972472]",300 E 42nd St,Retail: Digital,On-Street Ad (Print),"New York, NY",1920 x 1080 px,https://www.billboardsin.com/design/UrbanPanels-NaNxNaN-null,"300 E 42nd St Exterior facing digital screen, 15-second or 30-second ads every 120 seconds during the hours of operation, video or static capabilities, no sound.",0,0,50,1400,40.749212,-73.972472,233
425,22894304,"[40.777811, -73.985666]",200 West End Ave,Digital Networks: Digital Signage Networks,Unique / Other,"New York, NY",1920 x 1080 px,https://www.billboardsin.com/design/DigitalNetworks-NaNxNaN-null,"200 West End Ave Interior facing digital screen, 15-second or 30-second ads every 120 seconds during the hours of operation, video or static capabilities, no sound.",0,0,50,1400,40.777811,-73.985666,143
429,22894303,"[40.757184, -73.976232]",424 Madison Ave,Digital Networks: Digital Signage Networks,Unique / Other,"New York, NY",1920 x 1080 px,https://www.billboardsin.com/design/DigitalNetworks-NaNxNaN-null,"424 Madison Ave Exterior facing digital screen, 15-second or 30-second ads every 120 seconds during the hours of operation, video or static capabilities, no sound.",0,0,50,1400,40.757184,-73.976232,161
430,22894337,"[40.838613, -73.941853]",3921 Broadway,Retail: Digital,On-Street Ad (Print),"New York, NY",1920 x 1080 px,https://www.billboardsin.com/design/UrbanPanels-NaNxNaN-null,"3921 Broadway Exterior facing digital screen, 15-second or 30-second ads every 120 seconds during the hours of operation, video or static capabilities, no sound.",0,0,50,1400,40.838613,-73.941853,244
438,22894342,"[40.720232, -73.997035]",177 Mulberry St,Restaurants / Bars: Digital: Digital Signage Networks,On-Street Ad (Print),"New York, NY",1920 x 1080 px,https://www.billboardsin.com/design/UrbanPanels-NaNxNaN-null,"177 Mulberry St Exterior facing digital screen, 15-second or 30-second ads every 120 seconds during the hours of operation, video or static capabilities, no sound.",0,0,50,1400,40.720232,-73.997035,144
442,22894306,"[40.745413, -73.99913]",312 W 23rd St,Digital Networks: Digital Signage Networks,Unique / Other,"New York, NY",1920 x 1080 px,https://www.billboardsin.com/design/DigitalNetworks-NaNxNaN-null,"312 W 23rd St Interior facing digital screen, 15-second or 30-second ads every 120 seconds during the hours of operation, video or static capabilities, no sound.",0,0,50,1400,40.745413,-73.99913,68
448,22894497,"[40.715819, -74.003327]",111 Worth St,Restaurants / Bars: Digital: Digital Signage Networks,Restaurant / Bar,"New York, NY",1920 x 1080 px,https://www.billboardsin.com/design/RestoBarDigitalSignageNetworks-NaNxNaN-null,"111 Worth St Exterior facing digital screen, 15-second or 30-second ads every 120 seconds during the hours of operation, video or static capabilities, no sound.",0,0,50,1400,40.715819,-74.003327,231
459,22894444,"[40.710485, -74.007571]",99 Nassau St,Retail: Digital,On-Street Ad (Print),"New York, NY",1920 x 1080 px,https://www.billboardsin.com/design/UrbanPanels-NaNxNaN-null,"99 Nassau St Exterior facing digital screen, 15-second or 30-second ads every 120 seconds during the hours of operation, video or static capabilities, no sound.",0,0,50,1400,40.710485,-74.007571,209
471,22894499,"[40.717793, -74.007276]",173 W Broadway,Retail: Digital,On-Street Ad (Print),"New York, NY",1920 x 1080 px,https://www.billboardsin.com/design/UrbanPanels-NaNxNaN-null,"173 W Broadway Exterior facing digital screen, 15-second or 30-second ads every 120 seconds during the hours of operation, video or static capabilities, no sound.",0,0,50,1400,40.717793,-74.007276,231
476,22894305,"[40.777823, -73.985697]",200 West End Ave,Digital Networks: Digital Signage Networks,On-Street Ad (Print),"New York, NY",1920 x 1080 px,https://www.billboardsin.com/design/UrbanPanels-NaNxNaN-null,"200 West End Ave Exterior facing digital screen, 15-second or 30-second ads every 120 seconds during the hours of operation, video or static capabilities, no sound.",0,0,50,1400,40.777823,-73.985697,143
484,22894348,"[40.868, -73.920804]",4953 Broadway,Retail: Digital,Retail (Other),"New York, NY",1920 x 1080 px,https://www.billboardsin.com/design/RetailDigital-NaNxNaN-null,"4953 Broadway Interior facing digital screen, 15-second or 30-second ads every 120 seconds during the hours of operation, video or static capabilities, no sound.",0,0,50,1400,40.868,-73.920804,127
511,22894357,"[40.766585, -73.986379]","842 9th Ave, Corner of W 55th St",Retail: Digital,On-Street Ad (Print),"New York, NY",1920 x 1080 px,https://www.billboardsin.com/design/UrbanPanels-NaNxNaN-null,"842 9th Ave, Corner of W 55th St Exterior facing digital screen, 15-second or 30-second ads every 120 seconds during the hours of operation, video or static capabilities, no sound.",0,0,50,1400,40.766585,-73.986379,48
515,22894346,"[40.729141, -73.998249]",552 LaGuardia Pl,Retail: Digital,Retail (Other),"New York, NY",1920 x 1080 px,https://www.billboardsin.com/design/RetailDigital-NaNxNaN-null,"552 LaGuardia Pl Interior facing digital screen, 15-second or 30-second ads every 120 seconds during the hours of operation, video or static capabilities, no sound.",0,0,50,1400,40.729141,-73.998249,114
517,22894367,"[40.865454, -73.920613]",217 Sherman Ave,Retail: Digital,On-Street Ad (Print),"New York, NY",1920 x 1080 px,https://www.billboardsin.com/design/UrbanPanels-NaNxNaN-null,"217 Sherman Ave Exterior facing digital screen, 15-second or 30-second ads every 120 seconds during the hours of operation, video or static capabilities, no sound.",0,0,50,1400,40.865454,-73.920613,127
528,22894428,"[40.710762, -74.007276]",111 Nassau St,Retail: Digital,Retail (Other),"New York, NY",1920 x 1080 px,https://www.billboardsin.com/design/RetailDigital-NaNxNaN-null,"111 Nassau St Interior facing digital screen, 15-second or 30-second ads every 120 seconds during the hours of operation, video or static capabilities, no sound.",0,0,50,1400,40.710762,-74.007276,209
548,22894310,"[40.749198, -73.972438]",300 E 42nd St,Retail: Digital,Retail (Other),"New York, NY",1920 x 1080 px,https://www.billboardsin.com/design/RetailDigital-NaNxNaN-null,"300 E 42nd St Interior facing digital screen, 15-second or 30-second ads every 120 seconds during the hours of operation, video or static capabilities, no sound.",0,0,50,1400,40.749198,-73.972438,233
550,22894330,"[40.766629, -73.986369]","842 9th Ave, Corner of W 55th St",Retail: Digital,Retail (Other),"New York, NY",1920 x 1080 px,https://www.billboardsin.com/design/RetailDigital-NaNxNaN-null,"842 9th Ave, Corner of W 55th St Interior facing digital screen, 15-second or 30-second ads every 120 seconds during the hours of operation, video or static capabilities, no sound.",0,0,50,1400,40.766629,-73.986369,48
567,22894366,"[40.865434, -73.920601]",217 Sherman Ave,Retail: Digital,Retail (Other),"New York, NY",1920 x 1080 px,https://www.billboardsin.com/design/RetailDigital-NaNxNaN-null,"217 Sherman Ave Interior facing digital screen, 15-second or 30-second ads every 120 seconds during the hours of operation, video or static capabilities, no sound.",0,0,50,1400,40.865434,-73.920601,127
572,22894333,"[40.75526, -73.992698]",325 W 38th St,Restaurants / Bars: Digital: Digital Signage Networks,On-Street Ad (Print),"New York, NY",1920 x 1080 px,https://www.billboardsin.com/design/UrbanPanels-NaNxNaN-null,"325 W 38th St Exterior facing digital screen, 15-second or 30-second ads every 120 seconds during the hours of operation, video or static capabilities, no sound.",0,0,50,1400,40.75526,-73.992698,48
574,22894336,"[40.838628, -73.941866]",3921 Broadway,Retail: Digital,Retail (Other),"New York, NY",1920 x 1080 px,https://www.billboardsin.com/design/RetailDigital-NaNxNaN-null,"3921 Broadway Interior facing digital screen, 15-second or 30-second ads every 120 seconds during the hours of operation, video or static capabilities, no sound.",0,0,50,1400,40.838628,-73.941866,244
582,22894356,"[40.766601, -73.986371]","842 9th Ave, Corner of W 55th St",Retail: Digital,Retail (Other),"New York, NY",1920 x 1080 px,https://www.billboardsin.com/design/RetailDigital-NaNxNaN-null,"842 9th Ave, Corner of W 55th St Interior facing digital screen, 15-second or 30-second ads every 120 seconds during the hours of operation, video or static capabilities, no sound.",0,0,50,1400,40.766601,-73.986371,48
596,22894390,"[40.705929, -74.007284]",79 Pine St,Retail: Digital,On-Street Ad (Print),"New York, NY",1920 x 1080 px,https://www.billboardsin.com/design/UrbanPanels-NaNxNaN-null,"79 Pine St Exterior facing digital screen, 15-second or 30-second ads every 120 seconds during the hours of operation, video or static capabilities, no sound.",0,0,50,1400,40.705929,-74.007284,87
597,22894313,"[40.848273, -73.933192]",547 W 180th St,Digital Networks: Digital Signage Networks,On-Street Ad (Print),"New York, NY",1920 x 1080 px,https://www.billboardsin.com/design/UrbanPanels-NaNxNaN-null,"547 W 180th St Exterior facing digital screen, 15-second or 30-second ads every 120 seconds during the hours of operation, video or static capabilities, no sound.",0,0,50,1400,40.848273,-73.933192,243
601,22894489,"[40.812427, -73.941804]",448 Malcom X Blvd,Grocery Stores: Digital,On-Street Ad (Print),"New York, NY",1920 x 1080 px,https://www.billboardsin.com/design/UrbanPanels-NaNxNaN-null,"448 Malcom X Blvd Exterior facing digital screen, 15-second or 30-second ads every 120 seconds during the hours of operation, video or static capabilities, no sound.",0,0,50,1400,40.812427,-73.941804,42
602,22894312,"[40.848285, -73.933173]",547 W 180th St,Digital Networks: Digital Signage Networks,Unique / Other,"New York, NY",1920 x 1080 px,https://www.billboardsin.com/design/DigitalNetworks-NaNxNaN-null,"547 W 180th St Interior facing digital screen, 15-second or 30-second ads every 120 seconds during the hours of operation, video or static capabilities, no sound.",0,0,50,1400,40.848285,-73.933173,243
647,22894341,"[40.720235, -73.997054]",177 Mulberry St,Restaurants / Bars: Digital: Digital Signage Networks,Restaurant / Bar,"New York, NY",1920 x 1080 px,https://www.billboardsin.com/design/RestoBarDigitalSignageNetworks-NaNxNaN-null,"177 Mulberry St Interior facing digital screen, 15-second or 30-second ads every 120 seconds during the hours of operation, video or static capabilities, no sound.",0,0,50,1400,40.720235,-73.997054,144
649,22894488,"[40.812415, -73.941793]",448 Malcom X Blvd,Grocery Stores: Digital,Retail (Grocery),"New York, NY",1920 x 1080 px,https://www.billboardsin.com/design/GroceryDigital-NaNxNaN-null,"448 Malcom X Blvd Interior facing digital screen, 15-second or 30-second ads every 120 seconds during the hours of operation, video or static capabilities, no sound.",0,0,50,1400,40.812415,-73.941793,42
665,22894437,"[40.756314, -73.979977]",10 West 46th St,Restaurants / Bars: Digital: Digital Signage Networks,Restaurant / Bar,"New York, NY",1920 x 1080 px,https://www.billboardsin.com/design/RestoBarDigitalSignageNetworks-NaNxNaN-null,"10 West 46th St Interior facing digital screen, 15-second or 30-second ads every 120 seconds during the hours of operation, video or static capabilities, no sound.",0,0,50,1400,40.756314,-73.979977,161
670,22894484,"[40.717569, -73.996037]",157 Hester St,Retail: Digital,On-Street Ad (Print),"New York, NY",1920 x 1080 px,https://www.billboardsin.com/design/UrbanPanels-NaNxNaN-null,"157 Hester St Exterior facing digital screen, 15-second or 30-second ads every 120 seconds during the hours of operation, video or static capabilities, no sound.",0,0,50,1400,40.717569,-73.996037,144
686,22894360,"[40.802821, -73.938418]",2021 Lexington Ave,Restaurants / Bars: Digital: Digital Signage Networks,Restaurant / Bar,"New York, NY",1920 x 1080 px,https://www.billboardsin.com/design/RestoBarDigitalSignageNetworks-NaNxNaN-null,"2021 Lexington Ave Interior facing digital screen, 15-second or 30-second ads every 120 seconds during the hours of operation, video or static capabilities, no sound.",0,0,50,1400,40.802821,-73.938418,74
693,22894443,"[40.710498, -74.007587]",99 Nassau St,Retail: Digital,Retail (Other),"New York, NY",1920 x 1080 px,https://www.billboardsin.com/design/RetailDigital-NaNxNaN-null,"99 Nassau St Interior facing digital screen, 15-second or 30-second ads every 120 seconds during the hours of operation, video or static capabilities, no sound.",0,0,50,1400,40.710498,-74.007587,209
730,22894331,"[40.766635, -73.986396]","842 9th Ave, Corner of W 55th St",Retail: Digital,On-Street Ad (Print),"New York, NY",1920 x 1080 px,https://www.billboardsin.com/design/UrbanPanels-NaNxNaN-null,"842 9th Ave, Corner of W 55th St Exterior facing digital screen, 15-second or 30-second ads every 120 seconds during the hours of operation, video or static capabilities, no sound.",0,0,50,1400,40.766635,-73.986396,48
731,22894379,"[40.748788, -73.976086]",594 3rd Ave,Restaurants / Bars: Digital: Digital Signage Networks,On-Street Ad (Print),"New York, NY",1920 x 1080 px,https://www.billboardsin.com/design/UrbanPanels-NaNxNaN-null,"594 3rd Ave Exterior facing digital screen, 15-second or 30-second ads every 120 seconds during the hours of operation, video or static capabilities, no sound.",0,0,50,1400,40.748788,-73.976086,170
744,22894438,"[40.756341, -73.979958]",10 West 46th St,Restaurants / Bars: Digital: Digital Signage Networks,On-Street Ad (Print),"New York, NY",1920 x 1080 px,https://www.billboardsin.com/design/UrbanPanels-NaNxNaN-null,"10 West 46th St Exterior facing digital screen, 15-second or 30-second ads every 120 seconds during the hours of operation, video or static capabilities, no sound.",0,0,50,1400,40.756341,-73.979958,161
841,22894503,"[40.716544, -74.006857]",200 Church St,Health Club / Recreation: Digital: Digital Signage Networks,On-Street Ad (Print),"New York, NY",1920 x 1080 px,https://www.billboardsin.com/design/UrbanPanels-NaNxNaN-null,"200 Church St Exterior facing digital screen, 15-second or 30-second ads every 120 seconds during the hours of operation, video or static capabilities, no sound.",0,0,50,1400,40.716544,-74.006857,231
846,22894432,"[40.706739, -74.008596]",54 Pine St,Restaurants / Bars: Digital: Digital Signage Networks,Restaurant / Bar,"New York, NY",1920 x 1080 px,https://www.billboardsin.com/design/RestoBarDigitalSignageNetworks-NaNxNaN-null,"54 Pine St Exterior facing digital screen, 15-second or 30-second ads every 120 seconds during the hours of operation, video or static capabilities, no sound.",0,0,50,1400,40.706739,-74.008596,87
585,23599945,"[40.829675, -73.947866]","Digital Kiosks - New York County, NY<br />Primary Artery: 3642 BROADWAY-150ST-NEC-F/E<br />Cross Artery: 150ST",Kiosks,In-store Ad (Print),"New York, NY","4' h x 2'3"" w",https://www.billboardsin.com/design/OutdoorKiosks-4-00x2-25-Foot,"Digital Kiosks - New York County, NY<br /><b>Primary Artery:</b> 3642 BROADWAY-150ST-NEC-F/E<br /><b>Cross Artery:</b> 150ST",47.34,35272,60,1669.92,40.829675,-73.947866,116
